Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,ARG,ARS,2.5,1.0,2.5,1.1160714285714284,7740.134528,11.607000000000001,10.541,-12.148,5.442,109.09100000000001,56.069,29.913,4.144,41.348,91.72
Australia,AUS,AUD,3.0,1.98,1.51515151515152,1.3392857142857184,26814.0245333333,-32.359,-33.005,-46.756,-36.096000000000004,26.722,-25.283,-37.805,-50.141999999999996,-32.33,-8.215
Brazil,BRA,BRL,3.6,2.19,1.64383561643836,1.6071428571428608,4399.42968888889,-26.613999999999997,-27.315,-42.234,-30.668,37.484,7.634,-10.405000000000001,-28.176000000000002,-2.5180000000000002,32.221
Canada,CAN,CAD,3.33,1.56,2.13461538461538,1.4866071428571397,24276.8953273273,-4.705,-5.615,-24.988,-9.969,78.53099999999999,8.291,-9.858,-27.738000000000003,-1.923,33.028
Switzerland,CHE,CHF,6.3,1.73,3.64161849710983,2.812500000000002,23405.5064888889,62.572,61.019999999999996,27.969,53.592,204.57200000000003,86.584,55.31399999999999,24.507,68.986,129.206
Chile,CHL,CLP,1260.0,601.0,2.09650582362729,562.5000000000006,4891.30858666667,-6.406000000000001,-7.3,-26.327,-11.576,75.344,36.293,13.452,-9.052,23.438,67.427
China,CHN,CNY,9.9,8.28,1.19565217391304,4.419642857142843,1781.61907070707,-46.623,-47.132000000000005,-57.984,-49.571,0.0,-18.595,-32.238,-45.678999999999995,-26.273999999999997,0.0
Czech Republic,CZE,CZK,56.0,39.0,1.43589743589744,25.000000000000068,9286.88948,-35.897,-36.51,-49.542,-39.438,20.093,-12.253,-26.958,-41.447,-20.529,7.792000000000001
Denmark,DNK,DKK,24.75,8.46,2.92553191489362,11.049107142857153,22531.2751321212,30.604,29.357,2.8049999999999997,23.39,144.68099999999998,51.409000000000006,26.034000000000002,1.035,37.128,85.996
Euro area,EUZ,EUR,2.57,1.136363636,2.26160000072371,1.1473214285714275,20309.194530968,0.964,0.0,-20.526,-4.6129999999999995,89.152,20.133000000000003,0.0,-19.835,8.802,47.576
Britain,GBR,GBP,1.99,0.699300699,2.84570000122365,0.8883928571428568,21041.2902914573,27.04,25.826999999999998,0.0,20.023,138.004,49.858000000000004,24.743000000000002,0.0,35.724000000000004,84.09100000000001
Hong Kong,HKG,HKD,10.7,7.8,1.37179487179487,4.776785714285708,41719.4680523365,-38.759,-39.344,-51.794,-42.142,14.732000000000001,-41.892,-51.629999999999995,-61.224999999999994,-47.372,-28.618
