Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,12.0,3.673,3.26708412741628,2.830188679245282,,-22.945999999999998,-34.156,-29.387999999999998,9.864,19.097,,,,,
Argentina,ARG,ARS,21.0,6.92125,3.03413400758534,4.952830188679252,16018.7775428571,-28.439999999999998,-38.851,-34.422999999999995,2.03,10.605,-2.06,-27.560000000000002,-17.455000000000002,40.931,5.279
Australia,AUS,AUD,5.05,1.128859288,4.47354249877067,1.1910377358490563,56570.8129742574,5.508,-9.841,-3.312,50.434,63.077000000000005,3.123,-23.726,-13.086999999999998,48.388,10.85
Brazil,BRA,BRL,12.4,2.36305,5.24745561879774,2.924528301886792,9405.70552258064,23.761,5.756,13.414000000000001,76.458,91.289,81.215,34.033,52.729000000000006,160.758,94.793
Canada,CAN,CAD,5.54,1.1051,5.01312098452629,1.3066037735849063,41558.0462093863,18.234,1.0330000000000001,8.35,68.57799999999999,82.746,29.238999999999997,-4.41,8.923,85.967,38.923
Switzerland,CHE,CHF,6.5,0.91005,7.14246469974177,1.5330188679245276,53130.6846276923,68.45400000000001,43.948,54.372,140.183,160.369,68.738,24.805,42.214,142.805,81.382
Chile,CHL,CLP,2000.0,541.95,3.69037734108313,471.69811320754775,16528.3390196,-12.963,-25.624999999999996,-20.238999999999997,24.098,34.528,18.526999999999997,-12.333,-0.105,70.55399999999999,27.407999999999998
China,CHN,CNY,16.6,6.0513,2.74321220233669,3.915094339622644,11140.4789301205,-35.302,-44.714,-40.71,-7.753,0.0,-6.970999999999999,-31.191999999999997,-21.593999999999998,33.864,0.0
Colombia,COL,COP,8600.0,1982.795,4.33731172410663,2028.3018867924545,7748.75988201861,2.2950000000000004,-12.587000000000002,-6.257,45.853,58.111000000000004,52.452,12.759,28.487000000000002,119.37,63.87500000000001
Costa Rica,CRI,CRC,2150.0,501.92,4.28355116353204,507.0754716981135,,1.027,-13.669999999999998,-7.4190000000000005,44.045,56.150999999999996,,,,,
Czech Republic,CZE,CZK,70.45,20.2838,3.47321507804258,16.61556603773587,23709.6006904187,-18.085,-30.002000000000002,-24.933,16.794999999999998,26.611,4.202999999999999,-22.928,-12.177,49.942,12.01
Denmark,DNK,DKK,28.5,5.5014,5.18049950921584,6.721698113207553,51240.5556154386,22.182,4.407,11.967,74.207,88.848,24.082,-8.224,4.577,78.547,33.379
Egypt,EGY,EGP,16.93,6.961,2.43212182157736,3.9929245283018875,5797.78501594802,-42.638999999999996,-50.983999999999995,-47.434,-18.214,-11.34,-12.681999999999999,-35.417,-26.407999999999998,25.645,-6.140000000000001
Euro area,EUZ,EUR,3.657962724,0.737218475,4.96184353491684,0.8627270575471703,34723.8124911951,17.025000000000002,0.0,7.2410000000000005,66.854,80.877,35.201,0.0,13.949,94.547,45.332
Britain,GBR,GBP,2.79,0.603009015,4.62679649988317,0.6580188679245279,42229.4000286738,9.123000000000001,-6.752,0.0,55.586999999999996,68.663,18.651,-12.241,0.0,70.733,27.542
