Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,12.0,3.67295,3.26712860234961,3.0303030303030303,,-17.497,-24.797,-21.508,-20.139000000000003,33.367999999999995,,,,,
Argentina,ARG,ARS,19.0,4.56625,4.16096359156857,4.797979797979793,11006.7401747368,5.075,-4.223,-0.034,1.71,69.855,36.254999999999995,11.667,21.01,30.458000000000002,67.364
Australia,AUS,AUD,4.56,0.974326497,4.68015599908292,1.1515151515151505,56611.1726052632,18.186,7.728,12.44,14.401,91.049,13.778000000000002,-6.7540000000000004,1.048,8.937000000000001,39.755
Brazil,BRA,BRL,10.08,2.04215,4.93597434076831,2.5454545454545463,8965.63328571429,24.646,13.616,18.586,20.654,101.492,64.183,34.556,45.814,57.19800000000001,101.66900000000001
Canada,CAN,CAD,5.12,1.01945,5.02231595468145,1.2929292929292941,40005.4119609375,26.826,15.603,20.66,22.764,105.01599999999999,34.733999999999995,10.421,19.659,29.002,65.496
Switzerland,CHE,CHF,6.5,0.9906,6.56167979002625,1.641414141414142,49202.7776307692,65.699,51.036,57.643,60.392,167.855,66.486,36.443,47.859,59.40299999999999,104.498
Chile,CHL,CLP,2050.0,493.05,4.15779332724876,517.676767676768,13603.6999527805,4.995,-4.295999999999999,-0.11,1.6320000000000001,69.726,33.513,9.42,18.575,27.833000000000002,63.995999999999995
China,CHN,CNY,15.65,6.3885,2.44971433043751,3.9520202020202104,9079.47661341853,-38.139,-43.613,-41.146,-40.12,0.0,-18.587999999999997,-33.278999999999996,-27.697,-22.051000000000002,0.0
Colombia,COL,COP,8600.0,1804.475,4.76592914836725,2171.71717171717,6397.66964683256,20.352,9.702,14.499999999999998,16.497,94.55,61.736999999999995,32.551,43.641000000000005,54.856,98.664
Czech Republic,CZE,CZK,70.33,21.048,3.34141011022425,17.760101010101014,21811.6686824968,-15.620999999999999,-23.088,-19.723,-18.323,36.4,1.106,-17.139,-10.206,-3.195,24.19
Denmark,DNK,DKK,28.5,6.1356,4.64502249168785,7.196969696969691,46148.6550568421,17.299,6.9190000000000005,11.596,13.542000000000002,89.615,20.016000000000002,-1.641,6.587999999999999,14.911,47.418
Egypt,EGY,EGP,16.0,6.0665,2.63743509437072,4.040404040404034,4432.48938,-33.398,-39.292,-36.636,-35.531,7.663,-9.087,-25.493,-19.259,-12.955,11.67
Euro area,EUZ,EUR,3.583482241,0.824844311,4.34443469296111,0.9049197578282837,32812.6611164255,9.708,0.0,4.3740000000000006,6.194,77.345,22.019,0.0,8.366999999999999,16.828000000000003,49.878
Britain,GBR,GBP,2.69,0.646266197,4.1623715002999,0.6792929292929295,38674.729070632,5.11,-4.191000000000001,0.0,1.744,69.913,12.598,-7.721,0.0,7.808,38.306000000000004
Hong Kong,HKG,HKD,16.5,7.75815,2.126795692272,4.166666666666671,65301.80736,-46.293,-51.046,-48.903999999999996,-48.013,-13.181999999999999,-50.71600000000001,-59.609,-56.230000000000004,-52.812000000000005,-39.463
Hungary,HUN,HUF,830.0,238.2151,3.48424596089836,209.59595959595933,13634.9057277108,-12.014,-19.8,-16.292,-14.832,42.231,11.858,-8.327,-0.657,7.1,37.397999999999996
Indonesia,IDN,IDR,24200.0,9482.5,2.55206960189823,6111.111111111102,5295.88601394546,-35.554,-41.257,-38.687,-37.618,4.178,-12.634,-28.399,-22.409000000000002,-16.351,7.313
India,IND,INR,89.0,56.165,1.58461675420636,22.474747474747527,3090.89577438202,-59.984,-63.525,-61.92999999999999,-61.266,-35.314,-44.785000000000004,-54.749,-50.961999999999996,-47.134,-32.178000000000004
Israel,ISR,ILS,11.9,4.07625,2.91934989267096,3.005050505050505,41015.0171495798,-26.279000000000003,-32.803,-29.863,-28.64,19.171,-22.172,-36.217,-30.880000000000003,-25.483,-4.403
Japan,JPN,JPY,320.0,78.22,4.09102531321913,80.80808080808089,48156.858671625,3.309,-5.833,-1.714,0.0,67.0,4.443,-14.404,-7.242,0.0,28.29
South Korea,KOR,KRW,3700.0,1151.0,3.21459600347524,934.3434343434346,29768.4876670054,-18.823,-26.007,-22.770000000000003,-21.423000000000002,31.223,-7.8839999999999995,-24.507,-18.191,-11.802999999999999,13.148000000000001
Sri Lanka,LKA,LKR,290.0,131.0,2.21374045801527,73.23232323232334,,-44.096999999999994,-49.044,-46.815,-45.888,-9.633,,,,,
Mexico,MEX,MXN,37.0,13.687,2.70329509753781,9.343434343434346,14033.3961989189,-31.735000000000003,-37.775999999999996,-35.054,-33.921,10.351,-13.471,-29.085,-23.152,-17.152,6.286
Malaysia,MYS,MYR,7.4,3.1735,2.33181030408067,1.8686868686868703,17026.7509945946,-41.116,-46.326,-43.979,-43.002,-4.813,-26.987,-40.162,-35.156,-30.092999999999996,-10.317
Norway,NOR,NOK,43.0,6.09205,7.05837936326852,10.858585858585855,52035.6621348837,78.242,62.468999999999994,69.57600000000001,72.533,188.131,76.146,44.36,56.43899999999999,68.65299999999999,116.364
New Zealand,NZL,NZD,5.1,1.273560876,4.00452000065995,1.2878787878787894,37354.4260941177,1.124,-7.824000000000001,-3.7920000000000003,-2.1149999999999998,63.468999999999994,9.234,-10.477,-2.987,4.587,34.175
Pakistan,PAK,PKR,285.0,94.605,3.01252576502299,71.96969696969697,1547.77547621053,-23.926,-30.658,-27.625,-26.362999999999996,22.975,6.297999999999999,-12.884,-5.595,1.7760000000000002,30.568
Philippines,PHL,PHP,118.0,42.2,2.79620853080569,29.79797979797983,3595.01562610169,-29.389,-35.637,-32.822,-31.65,14.144000000000002,-2.963,-20.474,-13.819999999999999,-7.092,19.192
Poland,POL,PLN,9.1,3.46035,2.62979178406809,2.297979797979802,17762.5212527473,-33.591,-39.467999999999996,-36.82,-35.717999999999996,7.351000000000001,-18.095,-32.875,-27.259,-21.579,0.606
Russia,RUS,RUB,75.0,32.76525,2.28901046077781,18.939393939393977,22201.9935456,-42.197,-47.312,-45.007000000000005,-44.048,-6.5600000000000005,-30.928,-43.391999999999996,-38.656,-33.866,-15.157000000000002
Saudi Arabia,SAU,SAR,10.0,3.75025,2.66648890073995,2.525252525252524,40044.978468,-32.664,-38.623000000000005,-35.937999999999995,-34.821000000000005,8.849,-28.483999999999998,-41.388999999999996,-36.485,-31.526,-12.155000000000001
Singapore,SGP,SGD,4.4,1.2585,3.49622566547477,1.1111111111111105,61005.0429,-11.711,-19.524,-16.003999999999998,-14.539,42.72,-17.063,-32.029,-26.342,-20.591,1.873
Sweden,SWE,SEK,39.97301987,6.9777,5.72868135202144,10.094196936868688,38945.2013328709,44.664,31.863000000000003,37.63,40.03,133.851,54.705999999999996,26.789,37.397000000000006,48.124,90.02799999999999
Thailand,THA,THB,82.0,31.7,2.58675078864353,20.70707070707068,8087.29169707317,-34.678,-40.458,-37.854,-36.77,5.593999999999999,-13.370000000000001,-29.003,-23.063,-17.055,6.409
Turkey,TUR,TRY,8.25,1.8269,4.51584651595599,2.083333333333333,9024.74784,14.036999999999999,3.946,8.491999999999999,10.384,84.342,50.13999999999999,23.047,33.342,43.753,84.42
Taiwan,TWN,TWD,75.0,30.1955,2.48381381331655,18.93939393939391,32423.9856336,-37.277,-42.828,-40.327,-39.286,1.392,-30.062,-42.681999999999995,-37.887,-33.037,-14.093
Ukraine,UKR,UAH,15.0,8.0855,1.85517284026962,3.7878787878787907,,-53.152,-57.298,-55.43,-54.653,-24.27,,,,,
Uruguay,URY,UYU,99.0,21.87,4.52674897119342,25.00000000000003,,14.312,4.197,8.754000000000001,10.651,84.787,,,,,
United States,USA,USD,3.96,1.0,3.96,1.0,50008.108,0.0,-8.849,-4.862,-3.2030000000000003,61.651999999999994,0.0,-18.045,-11.187999999999999,-4.2540000000000004,22.832
Venezuela,VEN,VEF,34.0,4.29465,7.9168267495605,8.585858585858587,,99.92,82.229,90.2,93.517,223.17300000000003,,,,,
South Africa,ZAF,ZAR,19.95,8.4683,2.35584473861342,5.037878787878794,12668.6934496241,-40.509,-45.773,-43.401,-42.414,-3.832,-23.819000000000003,-37.566,-32.342,-27.060000000000002,-6.425
