Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,10.0,3.67285,2.72268129654083,3.3333333333333286,,-9.244,-34.659,-32.055,18.937,88.229,,,,,
Argentina,ARG,ARS,8.25,3.0915,2.66860747210092,2.749999999999998,6680.132,-11.046,-35.957,-33.404,16.575,84.491,26.6,-21.681,-12.159,64.25,80.296
Australia,AUS,AUD,3.45,1.17,2.94871794871795,1.1500000000000004,43834.5443478261,-1.709,-29.235,-26.413999999999998,28.811999999999998,103.856,0.084,-38.085,-30.557000000000002,29.848000000000003,42.534
Brazil,BRA,BRL,6.9,1.913,3.60690015682175,2.3000000000000025,5738.08913043478,20.23,-13.439,-9.989,57.56400000000001,149.358,72.856,6.935,19.936,124.262,146.171
Canada,CAN,CAD,3.88,1.05345,3.68313636147895,1.2933333333333332,35573.1239690722,22.771,-11.609,-8.086,60.894000000000005,154.629,33.455,-17.44,-7.402,73.14399999999999,90.059
Switzerland,CHE,CHF,6.3,1.2112,5.20145310435931,2.099999999999999,35358.8057142857,73.382,24.828,29.804000000000002,127.22,259.595,88.8,16.799,30.999,144.94899999999998,168.879
Chile,CHL,CLP,1565.0,526.75,2.97104888467015,521.6666666666672,9565.67835335463,-0.9650000000000001,-28.699,-25.857000000000003,29.787000000000003,105.399,36.725,-15.417,-5.1339999999999995,77.386,94.715
China,CHN,CNY,11.0,7.6047,1.44647389114626,3.666666666666655,4556.19190909091,-51.784,-65.286,-63.903,-36.812,0.0,-29.781999999999996,-56.56099999999999,-51.278999999999996,-8.9,0.0
Colombia,COL,COP,6900.0,1956.0,3.52760736196319,2299.9999999999995,3934.41515,17.587,-15.342,-11.967,54.1,143.876,72.419,6.664000000000001,19.633,123.695,145.549
Costa Rica,CRI,CRC,1130.0,518.625,2.17883827428296,376.66666666666674,,-27.372000000000003,-47.711,-45.626,-4.82,50.631,,,,,
Czech Republic,CZE,CZK,52.9,21.11675,2.50512034285579,17.633333333333336,19586.0018336484,-16.496,-39.879999999999995,-37.484,9.433,73.188,4.419,-35.403,-27.549,35.472,48.707
Denmark,DNK,DKK,27.75,5.4603,5.08213834404703,9.249999999999998,33508.4882162162,69.405,21.965,26.826,122.00800000000001,251.34699999999998,87.30799999999999,15.875,29.964000000000002,143.01299999999998,166.753
Egypt,EGY,EGP,9.54,5.69025,1.67655199683669,3.1799999999999913,2828.86698113208,-44.115,-59.765,-58.160999999999994,-26.762000000000004,15.906,-17.044,-48.68,-42.441,7.627000000000001,18.141
Euro area,EUZ,EUR,3.057482443,0.733756466,4.1668899487422,1.0191608143333326,27504.6986464423,38.896,0.0,3.9859999999999998,82.026,188.072,61.646,0.0,12.158,109.71900000000001,130.207
Britain,GBR,GBP,1.99,0.496610632,4.00716350349906,0.6633333333333341,36483.0211055276,33.572,-3.833,0.0,75.04899999999999,177.03,44.123000000000005,-10.84,0.0,86.985,105.252
Hong Kong,HKG,HKD,12.0,7.81555,1.53540057961372,4.000000000000003,54435.352,-48.82,-63.151999999999994,-61.684000000000005,-32.928000000000004,6.148,-51.79899999999999,-70.18100000000001,-66.556,-37.464999999999996,-31.355
Hungary,HUN,HUF,600.0,180.2106,3.32943789100086,199.9999999999999,12079.690385,10.981,-20.098,-16.913,45.443,130.17600000000002,49.319,-7.6259999999999994,3.605,93.726,112.652
