Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
UAE,ARE,AED,9.0,3.6726,2.45057997059304,3.2374100719424455,,-11.85,-34.945,-32.824,9.889000000000001,87.318,,,,,
Argentina,ARG,ARS,7.0,3.0565,2.29020121053493,2.5179856115107966,5994.76499428571,-17.619,-39.202,-37.22,2.697,75.059,20.209,-25.011,-16.619999999999997,52.727000000000004,70.42
Australia,AUS,AUD,3.25,1.33253,2.43896947911116,1.1690647482014367,40601.1515384615,-12.267,-35.253,-33.141999999999996,9.368,86.42999999999999,-9.703000000000001,-43.669999999999995,-37.367,14.724,28.014
Brazil,BRA,BRL,6.4,2.3045,2.77717509221089,2.302158273381294,5222.20133125,-0.10200000000000001,-26.275,-23.871000000000002,24.534,112.282,47.142,-8.209,2.062,86.945,108.60300000000001
Canada,CAN,CAD,3.52,1.12045,3.1415948949083,1.266187050359714,34864.3385568182,13.007,-16.6,-13.880999999999998,40.875,140.138,22.283,-23.717,-15.181000000000001,55.362,73.361
Switzerland,CHE,CHF,6.3,1.20885,5.21156471026182,2.266187050359713,30980.6240349206,87.466,38.351,42.862,133.697,298.362,110.161,31.104,45.773,167.012,197.945
Chile,CHL,CLP,1560.0,529.95,2.94367393150297,561.1510791366903,7539.3742510641,5.888,-21.855,-19.307,32.0,125.00899999999999,51.681,-5.378,5.21,92.712,115.038
China,CHN,CNY,10.5,8.026,1.30824819337154,3.7769784172661796,3799.7926952381,-52.941,-65.27,-64.13799999999999,-41.336,0.0,-29.463,-55.997,-51.074,-10.382,0.0
Colombia,COL,COP,6500.0,2503.6,2.59626138360761,2338.129496402882,3468.58532792,-6.609,-31.076999999999998,-28.83,16.422,98.453,40.56,-12.315,-2.504,78.583,99.272
Costa Rica,CRI,CRC,1130.0,509.535,2.21770830266812,406.4748201438851,,-20.226,-41.127,-39.207,-0.5539999999999999,69.517,,,,,
Czech Republic,CZE,CZK,59.05,22.1078,2.67100299441826,21.241007194244606,15166.6022733277,-3.9210000000000003,-29.093000000000004,-26.781,19.773,104.166,26.222,-21.259,-12.449,60.367000000000004,78.945
Denmark,DNK,DKK,27.75,5.81825,4.76947535771065,9.982014388489205,29360.9630875676,71.56400000000001,26.615,30.743,113.873,264.57,95.26599999999999,21.812,35.442,148.088,176.82899999999998
Egypt,EGY,EGP,9.5,5.77075,1.64623315860157,3.4172661870503633,2343.61754736842,-40.783,-56.298,-54.873000000000005,-26.179999999999996,25.835,-9.608,-43.611,-37.302,14.844,28.149
Euro area,EUZ,EUR,2.939573529,0.780365992,3.76691649704796,1.0574005499999988,25332.2468778243,35.501,0.0,3.26,68.916,187.93599999999998,60.301,0.0,11.189,103.665,127.25900000000001
Britain,GBR,GBP,1.94,0.531801744,3.64797600212458,0.6978417266187049,33178.1722371134,31.222,-3.1579999999999995,0.0,63.583,178.844,44.17,-10.062999999999999,0.0,83.16900000000001,104.389
Hong Kong,HKG,HKD,12.0,7.7533,1.54772806417912,4.316546762589918,47843.208555,-44.326,-58.913000000000004,-57.57299999999999,-30.597,18.305,-46.027,-66.33,-62.563,-31.427,-23.483
Hungary,HUN,HUF,560.0,206.3444,2.71390936705818,201.43884892086328,11107.9289868214,-2.377,-27.954,-25.605,21.697,107.446,34.168,-16.303,-6.938,70.462,90.21000000000001
Indonesia,IDN,IDR,14600.0,9325.0,1.5656836461126,5251.798561151078,2595.07913628219,-43.68,-58.436,-57.081,-29.792,19.678,-14.302999999999999,-46.54,-40.558,8.879,21.493000000000002
Japan,JPN,JPY,250.0,112.105,2.23005218322109,89.92805755395695,46352.09993832,-19.782,-40.799,-38.869,0.0,70.461,-21.291,-50.9,-45.406,0.0,11.584999999999999
South Korea,KOR,KRW,2500.0,952.4,2.62494750104998,899.2805755395688,22095.914780632,-5.577,-30.316,-28.044000000000004,17.708,100.64599999999999,15.359,-28.036,-19.983999999999998,46.564,63.544
Sri Lanka,LKA,LKR,190.0,102.955,1.84546646593172,68.34532374100728,,-33.616,-51.00900000000001,-49.411,-17.246,41.064,,,,,
Mexico,MEX,MXN,29.0,11.3031,2.56566782564075,10.43165467625898,9011.69219241379,-7.71,-31.889,-29.669,15.049999999999999,96.115,29.936,-18.942999999999998,-9.873,65.08500000000001,84.21
Malaysia,MYS,MYR,5.5,3.6295,1.51536024245764,1.978417266187052,10869.5184618182,-45.491,-59.772000000000006,-58.46,-32.048,15.831000000000001,-24.881,-53.139,-47.896,-4.561,6.496
Norway,NOR,NOK,43.0,6.1023,7.04652344198089,15.467625899280568,27874.877295814,153.472,87.063,93.163,215.98000000000002,438.62300000000005,192.585,82.52199999999999,102.945,271.73199999999997,314.79699999999997
New Zealand,NZL,NZD,4.45,1.62101,2.74520206537899,1.6007194244604306,24289.1267550562,-1.252,-27.123,-24.747,23.1,109.838,18.027,-26.372,-18.133,49.955,67.327
Pakistan,PAK,PKR,130.0,60.055,2.16468237449005,46.76258992805754,1204.38421153846,-22.134,-42.534,-40.661,-2.931,65.464,20.594,-24.77,-16.353,53.215999999999994,70.966
Peru,PER,PEN,9.5,3.261,2.91321680466115,3.417266187050364,2582.51962736842,4.792,-22.663,-20.142,30.634,122.681,59.479000000000006,-0.513,10.619,102.62,126.09300000000002
