Country,iso_a3,currency_code,local_price,dollar_ex,dollar_price,dollar_ppp,GDP_bigmac,dollar_valuation,euro_valuation,sterling_valuation,yen_valuation,yuan_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,Year
Argentina,ARG,ARS,2.5,1.0,2.5,1.1160714285714284,7803.328512,11.607,5.007000000000001,-16.722,-9.864,109.091,39.805,16.573999999999998,-6.353000000000001,10.595,96.855,2000
Australia,AUS,AUD,2.59,1.68,1.54166666666667,1.1562500000000024,29189.4477837838,-31.176,-35.246,-48.645,-44.416,28.939,-28.301,-40.215,-51.973,-43.281,0.958,2000
Brazil,BRA,BRL,2.95,1.79,1.64804469273743,1.3169642857142854,4913.91077966102,-26.427,-30.778,-45.102,-40.581,37.836,-5.247,-20.992,-36.53,-25.044,33.419,2000
Canada,CAN,CAD,2.85,1.47,1.93877551020408,1.2723214285714273,26087.3292350877,-13.448,-18.566,-35.417,-30.099,62.152,-7.575,-22.933,-38.09,-26.886,30.141,2000
Switzerland,CHE,CHF,5.9,1.7,3.47058823529412,2.633928571428573,23817.4401084746,54.937000000000005,45.774,15.609,25.130000000000003,190.267,68.536,40.531,12.893,33.323,137.31,2000
Chile,CHL,CLP,1260.0,514.0,2.45136186770428,562.4999999999999,4509.62359822222,9.436,2.964,-18.342,-11.618,105.023,41.496,17.984,-5.220000000000001,11.933,99.236,2000
China,CHN,CNY,9.9,8.28,1.19565217391304,4.419642857142843,1620.62212525253,-46.623,-49.779,-60.171,-56.891000000000005,0.0,-28.981,-40.782,-52.428,-43.819,0.0,2000
Czech Republic,CZE,CZK,54.37,39.1,1.39053708439898,24.27232142857148,9020.84502482987,-37.922,-41.594,-53.68000000000001,-49.865,16.299,-23.124,-35.899,-48.505,-39.186,8.246,2000
Denmark,DNK,DKK,24.75,8.04,3.07835820895522,11.049107142857126,21146.5686755556,37.427,29.299,2.544,10.988,157.463,52.844,27.446,2.382,20.91,115.215,2000
Euro area,EUZ,EUR,2.56,1.075268817,2.38080000045235,1.1428571428571417,19441.1763693739,6.286,0.0,-20.693,-14.162,99.121,19.928,0.0,-19.667,-5.129,68.867,2000
Britain,GBR,GBP,1.9,0.632911392,3.00200000192128,0.8482142857142856,20958.6000842105,34.018,26.092,0.0,8.235000000000001,151.07600000000002,49.289,24.482,0.0,18.097,110.209,2000
Hong Kong,HKG,HKD,10.2,7.79,1.30937098844673,4.55357142857144,42546.0751058824,-41.546,-45.003,-56.383,-52.791,9.511,-44.898,-54.054,-63.09,-56.41,-22.412000000000003,2000
Hungary,HUN,HUF,339.0,279.0,1.21505376344086,151.3392857142857,7499.95699823009,-45.757,-48.964,-59.52499999999999,-56.192,1.6230000000000002,-31.856,-43.18,-54.354,-46.094,-4.049,2000
Indonesia,IDN,IDR,14500.0,7945.0,1.82504719949654,6473.21428571429,1006.67527620414,-18.525,-23.343,-39.206,-34.199,52.64,9.077,-9.048,-26.935,-13.713,53.588,2000
Israel,ISR,ILS,14.5,4.05,3.58024691358025,6.473214285714291,12666.7832055172,59.832,50.38,19.262,29.084,199.439,91.404,59.598,28.21,51.413,169.509,2000
Japan,JPN,JPY,294.0,106.0,2.77358490566038,131.2500000000001,31783.5932114286,23.821,16.497999999999998,-7.609000000000001,0.0,131.973,26.412000000000003,5.406,-15.323999999999998,0.0,77.996,2000
South Korea,KOR,KRW,3000.0,1108.0,2.70758122743682,1339.2857142857126,9473.39596970667,20.874,13.726,-9.807,-2.3800000000000003,126.452,49.057,24.288,-0.155,17.913999999999998,109.882,2000
Mexico,MEX,MXN,20.9,9.41,2.22104144527099,9.33035714285715,6594.38380095694,-0.8460000000000001,-6.710000000000001,-26.015,-19.922,85.76,25.643,4.765,-15.839,-0.608,76.914,2000
Malaysia,MYS,MYR,4.52,3.8,1.18947368421053,2.017857142857149,7085.99320353983,-46.898,-50.039,-60.377,-57.114,-0.517,-33.028,-44.156,-55.139,-47.02,-5.698,2000
New Zealand,NZL,NZD,3.4,2.01,1.69154228855721,1.517857142857139,19095.9756235294,-24.485,-28.951,-43.653,-39.012,41.474,-14.54,-28.741,-42.755,-32.396,20.333,2000
Poland,POL,PLN,5.5,4.3,1.27906976744186,2.455357142857142,7025.39752727273,-42.899,-46.276,-57.39300000000001,-53.884,6.977,-27.941,-39.915,-51.732,-42.997,1.464,2000
Russia,RUS,RUB,39.5,28.5,1.3859649122807,17.633928571428548,1990.70195037975,-38.127,-41.786,-53.832,-50.03,15.917,-17.982,-31.611,-45.061,-35.118,15.487,2000
Singapore,SGP,SGD,3.2,1.7,1.88235294117647,1.428571428571428,25861.0541,-15.966,-20.936,-37.297,-32.133,57.433,-10.101,-25.039,-39.782,-28.884,26.584000000000003,2000
Sweden,SWE,SEK,24.0,8.84,2.71493212669683,10.714285714285705,23850.8760933333,21.202,14.034,-9.563,-2.115,127.067,31.804,9.902,-11.712,4.266,85.589,2000
Thailand,THA,THB,55.0,38.0,1.44736842105263,24.5535714285714,3131.31668945455,-35.385,-39.207,-51.787000000000006,-47.816,21.053,-15.315,-29.387,-43.275000000000006,-33.009,19.242,2000
Taiwan,TWN,TWD,70.0,30.6,2.28758169934641,31.25000000000006,14201.457536,2.124,-3.915,-23.798,-17.523,91.325,20.621,0.5780000000000001,-19.203,-4.581,69.843,2000
United States,USA,USD,2.24,1.0,2.24,1.0,34496.241,0.0,-5.914,-25.383,-19.238,87.345,0.0,-16.617,-33.016,-20.893,40.807,2000
South Africa,ZAF,ZAR,9.0,6.72,1.33928571428571,4.017857142857129,5208.99729777778,-40.21,-43.746,-55.387,-51.713,12.013,-23.219,-35.978,-48.569,-39.261,8.113,2000
Argentina,ARG,ARS,2.5,1.0,2.5,1.1160714285714284,7740.134528,11.607,10.541,-12.148,5.442,109.091,56.069,29.913,4.144,41.348,91.72,2001
Australia,AUS,AUD,3.0,1.98,1.51515151515152,1.3392857142857184,26814.0245333333,-32.359,-33.005,-46.756,-36.096,26.722,-25.283,-37.805,-50.142,-32.33,-8.215,2001
Brazil,BRA,BRL,3.6,2.19,1.64383561643836,1.6071428571428608,4399.42968888889,-26.614,-27.315,-42.234,-30.668,37.484,7.634,-10.405,-28.176,-2.518,32.221,2001
Canada,CAN,CAD,3.33,1.56,2.13461538461538,1.4866071428571397,24276.8953273273,-4.705,-5.615,-24.988,-9.969,78.53099999999999,8.291,-9.858,-27.738000000000003,-1.923,33.028,2001
Switzerland,CHE,CHF,6.3,1.73,3.64161849710983,2.812500000000002,23405.5064888889,62.572,61.02,27.969,53.592,204.57200000000003,86.584,55.31399999999999,24.507,68.986,129.206,2001
Chile,CHL,CLP,1260.0,601.0,2.09650582362729,562.5000000000006,4891.30858666667,-6.406000000000001,-7.3,-26.327,-11.576,75.344,36.293,13.452,-9.052,23.438,67.427,2001
China,CHN,CNY,9.9,8.28,1.19565217391304,4.419642857142843,1781.61907070707,-46.623,-47.132000000000005,-57.984,-49.571,0.0,-18.595,-32.238,-45.679,-26.274,0.0,2001
Czech Republic,CZE,CZK,56.0,39.0,1.43589743589744,25.000000000000068,9286.88948,-35.897,-36.51,-49.542,-39.438,20.093,-12.253,-26.958,-41.447,-20.529,7.792000000000001,2001
Denmark,DNK,DKK,24.75,8.46,2.92553191489362,11.049107142857151,22531.2751321212,30.604,29.357,2.805,23.39,144.68099999999998,51.409000000000006,26.034,1.035,37.128,85.996,2001
Euro area,EUZ,EUR,2.57,1.136363636,2.26160000072371,1.1473214285714275,20309.194530968,0.964,0.0,-20.526,-4.613,89.152,20.133000000000003,0.0,-19.835,8.802,47.576,2001
Britain,GBR,GBP,1.99,0.699300699,2.84570000122365,0.8883928571428568,21041.2902914573,27.04,25.827,0.0,20.023,138.004,49.858,24.743,0.0,35.724000000000004,84.09100000000001,2001
Hong Kong,HKG,HKD,10.7,7.8,1.37179487179487,4.776785714285708,41719.4680523365,-38.759,-39.344,-51.794,-42.142,14.732,-41.892,-51.63,-61.225,-47.372,-28.618,2001
Hungary,HUN,HUF,399.0,303.0,1.31683168316832,178.12500000000043,7317.71624421053,-41.213,-41.774,-53.726,-44.46,10.135,-17.305999999999997,-31.165,-44.819,-25.106,1.584,2001
Indonesia,IDN,IDR,14700.0,10855.0,1.35421464762782,6562.499999999994,1116.68429714286,-39.544,-40.121,-52.412000000000006,-42.883,13.262,-6.8580000000000005,-22.468,-37.847,-15.643,14.418,2001
Japan,JPN,JPY,294.0,124.0,2.37096774193548,131.24999999999977,32163.7690514286,5.847,4.836,-16.682,0.0,98.299,10.414,-8.09,-26.321,0.0,35.637,2001
South Korea,KOR,KRW,3000.0,1325.0,2.26415094339623,1339.2857142857165,10350.4182641067,1.078,0.1129999999999999,-20.436,-4.505,89.36500000000001,36.382,13.525,-8.993,23.518,67.536,2001
